endereco,preco,area,quartos,banheiros,garagens,latitude,longitude
"ARSO 31 Alameda 9, Plano Diretor Sul",1700000,350,3,5,4,-10.1856807,-48.31840469999999
"Plano Diretor Sul, Palmas",615000,109,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",990000,450,5,6,5,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",750000,320,2,5,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",680000,158,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",699000,127,3,2,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",520000,219,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",899000,184,3,4,2,-10.2196474,-48.33896439999999
"Quadra ARSE 102 Alameda 2, Plano Diretor Sul",750000,240,4,3,2,-10.2154065,-48.3452303
"Plano Diretor Sul, Palmas",749900,144,3,4,4,-10.2196474,-48.33896439999999
"ARSE 14 Alameda 19, Plano Diretor Sul",519000,111,3,1,2,-10.2124279,-48.3460252
"Plano Diretor Sul, Palmas",580000,300,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",600000,103,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 20, Plano Diretor Sul",550000,225,4,4,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",440000,101,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",740000,155,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",600000,144,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",380000,92,3,1,0,-10.2145542,-48.3470753
"ARSO 61 Alameda 6, Plano Diretor Sul",580000,360,3,2,4,-10.2563753,-48.3227179
"Quadra ARNE 14 Alameda 25, Plano Diretor Norte",490000,125,3,2,4,-10.2133333,-48.3452961
"Quadra ARSE 62 Alameda Di Cavalcanti, Plano Diretor Sul",197000,67,2,2,1,-10.2236269,-48.32220239999999
"Plano Diretor Sul, Palmas",639000,139,3,2,2,-10.2196474,-48.33896439999999
"ARSO 24 Avenida NS 9, Plano Diretor Sul",1600000,196,4,4,2,-10.214628,-48.3599536
"Quadra AANO, Plano Diretor Norte",870000,205,3,4,3,-10.1825324,-48.3352257
"ARSO 22 Alameda 28, Plano Diretor Sul",580000,130,3,2,2,-10.1910426,-48.319711
"Quadra ARSO 121 Alameda 1, Plano Diretor Sul",350000,155,3,2,2,-10.2590193,-48.3401126
"Plano Diretor Sul, Palmas",370000,158,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",350000,96,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",270000,80,3,2,1,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 27, Plano Diretor Sul",380000,98,3,2,2,-10.2120173,-48.3448284
"Plano Diretor Sul, Palmas",420000,102,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",780000,154,3,5,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",780000,205,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,120,3,4,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 27, Plano Diretor Sul",690000,150,3,4,2,-10.2120173,-48.3448284
"ARSO 42 Alameda 12, Plano Diretor Sul",620000,132,3,3,2,-10.2145542,-48.3470753
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",1100000,360,3,3,3,-10.249488,-48.3270034
"ARSO 42 Alameda 11, Plano Diretor Sul",620000,142,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",530000,140,3,3,3,-10.2196474,-48.33896439999999
"ARSO 43 Alameda 11, Plano Diretor Sul",650000,124,3,2,4,-10.2090108,-48.3538106
"Plano Diretor Sul, Palmas",1500000,446,4,7,8,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",1250000,185,3,5,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",470000,365,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",880000,190,3,4,4,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",1200000,200,3,4,4,-10.216539,-48.3462107
"Quadra ARSE 131 Rua 1, Plano Diretor Sul",690000,156,3,3,2,-10.2999138,-48.3209859
"Plano Diretor Sul, Palmas",220000,60,2,1,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",680000,329,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 151 HM 11, Plano Diretor Sul",199000,55,2,2,1,-10.215773,-48.3340767
"Taquarussu, Palmas",240000,360,3,1,2,-10.3146451,-48.1591704
"Jardim Aureny III, Palmas",210000,72,2,1,2,-10.300991,-48.3489356
"ARSE 13 Alameda 6, Plano Diretor Sul",225000,51,2,2,1,-10.2564921,-48.3225976
"ARSO 53 Alameda 29, Plano Diretor Sul",1250000,211,3,4,2,-10.2731979,-48.3412959
"Plano Diretor Sul, Palmas",460000,213,3,3,4,-10.2196474,-48.33896439999999
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",350000,96,3,1,2,-10.2145542,-48.3470753
"Plano Diretor Sul, Palmas",370000,200,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",285000,75,2,1,2,-10.2196474,-48.33896439999999
"ARSO 53 Alameda 20, Plano Diretor Sul",1050000,200,3,5,4,-10.1907927,-48.3215096
"Loteamento Bertaville, Palmas",195000,76,2,2,2,-10.2914525,-48.3180932
"Quadra ARSE 141 Alameda 1, Plano Diretor Sul",305000,82,2,2,2,-10.2196474,-48.33896439999999
"ARSO 42 Alameda 15, Plano Diretor Sul",270000,59,2,1,0,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",650000,120,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",380000,110,3,1,3,-10.2196474,-48.33896439999999
"ARSE 12 Alameda 4, Plano Diretor Sul",765000,147,3,1,2,-10.2163815,-48.3451051
"Quadra ARNE 64 Alameda 2, Plano Diretor Norte",315000,115,3,1,3,-10.156889,-48.3134594
"ARSO 42 Alameda 2, Plano Diretor Sul",290000,88,2,2,1,-10.215773,-48.3340767
"ARSO 42 Alameda 27, Plano Diretor Sul",650000,320,4,4,4,-10.2120173,-48.3448284
"Plano Diretor Sul, Palmas",695000,150,3,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",695000,180,3,2,4,-10.2196474,-48.33896439999999
"ARSE 12 Alameda 20, Plano Diretor Sul",899000,184,3,4,2,-10.2175874,-48.3468428
"Plano Diretor Sul, Palmas",530000,116,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",520000,384,3,1,2,-10.1701661,-48.3339796
"Plano Diretor Norte, Palmas",330000,88,2,1,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",550000,240,4,3,6,-10.2196474,-48.33896439999999
"Quadra ARSE 141 Alameda 12, Plano Diretor Sul",285000,75,2,1,0,-10.2145542,-48.3470753
"Plano Diretor Sul, Palmas",990000,192,3,5,0,-10.2196474,-48.33896439999999
"ARSO 54 Alameda 8, Plano Diretor Sul",795000,168,3,3,2,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",750000,155,3,3,0,-10.2196474,-48.33896439999999
"Quadra ARSE 21 Alameda 10, Plano Diretor Sul",2300000,602,5,7,5,-10.2142201,-48.3466
"Plano Diretor Norte, Palmas",280000,90,2,1,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",350000,160,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",350000,114,3,1,3,-10.2196474,-48.33896439999999
"Quadra ARSO 102 Alameda 9, Plano Diretor Sul",350000,10,3,2,3,-10.1857418,-48.3177581
"Plano Diretor Sul, Palmas",500000,111,3,2,0,-10.2196474,-48.33896439999999
"Avenida Taquari, Jardim Santa Barbara",180000,107,2,1,4,-10.3400394,-48.3032304
"Plano Diretor Norte, Palmas",699000,357,3,2,1,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",480000,132,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",660000,158,3,1,2,-10.2196474,-48.33896439999999
"ARSE 14 Alameda 19, Plano Diretor Sul",520000,120,3,2,2,-10.2124279,-48.3460252
"Quadra ARSO 151 QI 34, Plano Diretor Sul",598000,140,3,3,3,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",780000,170,3,4,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",850000,315,3,4,5,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",760000,135,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",130000,62,2,1,2,-10.2196474,-48.33896439999999
"Quadra ARSE 121 Alameda 4, Plano Diretor Sul",760000,238,4,3,4,-10.2163815,-48.3451051
"Plano Diretor Sul, Palmas",330000,152,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",160000,49,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",390000,95,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",390000,197,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",649000,129,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",750000,360,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",689000,138,3,4,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",580000,140,3,2,2,-10.2196474,-48.33896439999999
"ARSO 33 Rua 5, Plano Diretor Sul",975000,212,4,5,2,-10.3020312,-48.3081655
"Plano Diretor Sul, Palmas",710000,185,3,3,2,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 20, Plano Diretor Sul",380000,120,3,1,0,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",280000,72,2,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",350000,85,3,2,2,-10.2196474,-48.33896439999999
"ARSO 53 Alameda 2, Plano Diretor Sul",650000,150,3,2,2,-10.2154065,-48.3452303
"Plano Diretor Norte, Palmas",699000,127,3,2,2,-10.1701661,-48.3339796
"ARSO 62 Alameda 16, Plano Diretor Sul",500000,107,3,2,2,-10.215773,-48.3340767
"Quadra ARSE 71 Avenida NS 4, Plano Diretor Sul",260000,140,3,2,0,-10.2013143,-48.3247098
"Quadra ARSO 151 QI 35, Plano Diretor Sul",550000,170,3,3,3,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",370000,103,3,2,0,-10.2196474,-48.33896439999999
"ARSO 33 Rua 5, Plano Diretor Sul",870000,179,3,4,4,-10.3020312,-48.3081655
"Plano Diretor Sul, Palmas",639000,138,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",570000,102,3,3,2,-10.2196474,-48.33896439999999
"ARSO 53 Alameda 2, Plano Diretor Sul",450000,150,3,3,2,-10.2154065,-48.3452303
"ARSO 42 Alameda 18 A, Plano Diretor Sul",880000,175,4,4,3,-10.2788185,-48.3383985
"Quadra ARSO 52 Alameda 16, Plano Diretor Sul",699990,150,3,3,3,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",460000,265,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",630000,225,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",580000,150,3,2,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",360000,92,3,1,2,-10.2196474,-48.33896439999999
"Quadra ARNE 74 Rua 12, Plano Diretor Norte",295000,77,2,2,2,-10.1627949,-48.3087181
"Plano Diretor Norte, Palmas",580000,240,3,2,2,-10.1701661,-48.3339796
"ARSO 62 Alameda 24, Plano Diretor Sul",420000,100,3,2,2,-10.1904571,-48.32055219999999
"Plano Diretor Sul, Palmas",550000,149,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARNE 71 Alameda 14, Plano Diretor Norte",600000,152,3,3,3,-10.1517411,-48.33420539999999
"Rua Copaíba, Setor Morada do Sol Taquaralto",160000,73,2,2,1,-10.3430109,-48.286646
"Plano Diretor Sul, Palmas",750000,360,4,4,3,-10.2196474,-48.33896439999999
"ARSE 14 Alameda 5, Plano Diretor Sul",400000,106,3,3,2,-10.2459146,-48.3256023
"Quadra ARNE 71 Avenida LO 18, Plano Diretor Norte",650000,135,3,2,2,-10.1530924,-48.3296806
"Plano Diretor Sul, Palmas",780000,212,4,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",900000,150,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",649000,129,3,3,4,-10.2196474,-48.33896439999999
"Quadra ARSO 111 Alameda 26, Plano Diretor Sul",410000,102,3,2,4,-10.215773,-48.3340767
"Rua das Dalias, Setor Sonia Regina Taquaralto",190000,90,2,2,1,-10.369013,-48.3128429
"Plano Diretor Sul, Palmas",1299000,200,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,194,4,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",998000,157,3,3,0,-10.1701661,-48.3339796
"Quadra ARNO 33 Alameda 26, Plano Diretor Norte",170000,70,2,1,0,-10.1878117,-48.3208574
"Plano Diretor Sul, Palmas",550000,170,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",270000,64,2,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,133,2,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",600000,300,3,1,0,-10.2196474,-48.33896439999999
"ARSO 42 Alameda 5, Plano Diretor Sul",630000,144,3,3,2,-10.24584,-48.324821
"Quadra ARSE 92 Alameda 7, Plano Diretor Sul",420000,150,3,3,2,-10.2113835,-48.346634
"Quadra ARSO 151 QI 35, Plano Diretor Sul",199000,55,2,2,1,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",560000,124,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,154,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",400000,103,3,1,1,-10.2196474,-48.33896439999999
"Loteamento Caribe, Palmas",2300000,287,4,5,0,-10.1881138,-48.3060912
"Quadra ARSO 151 QI 20, Plano Diretor Sul",390000,96,3,2,2,-10.215773,-48.3340767
"ARSO 43 Alameda Circular 1, Plano Diretor Sul",630000,142,3,3,2,-10.215773,-48.3340767
"ARSO 34 Rua 10, Plano Diretor Sul",690000,150,3,2,2,-10.2958224,-48.304719
"Plano Diretor Sul, Palmas",540000,180,3,1,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",500000,110,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",1300000,209,3,4,0,-10.2196474,-48.33896439999999
"Quadra ARSO 151 HM 11, Plano Diretor Sul",199000,55,2,2,1,-10.215773,-48.3340767
"ARSE 14 Alameda 5, Plano Diretor Sul",800000,305,4,5,4,-10.2459146,-48.3256023
"Plano Diretor Sul, Palmas",300000,93,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 35, Plano Diretor Sul",200000,55,2,2,1,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",580000,151,3,3,3,-10.2196474,-48.33896439999999
"ARSO 43 Alameda 3, Plano Diretor Sul",630000,135,3,2,3,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",570000,102,3,2,2,-10.2196474,-48.33896439999999
"Graciosa - Orla 14 , Palmas",472334,104,3,1,2,-10.1956686,-48.3654932
"Plano Diretor Sul, Palmas",280000,70,2,2,2,-10.2196474,-48.33896439999999
"ACNO 1 Avenida LO 2, Plano Diretor Norte",600000,150,2,1,0,-10.1537659,-48.329711
"Quadra ARSE 111 Alameda 12, Plano Diretor Sul",660000,240,3,2,2,-10.249488,-48.3270034
"Quadra ARSE 51 Alameda 11, Plano Diretor Sul",380000,146,3,3,2,-10.2090322,-48.3537426
"Plano Diretor Sul, Palmas",625000,105,3,3,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 10, Plano Diretor Sul",1200000,200,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",589000,180,3,2,3,-10.2196474,-48.33896439999999
"Quadra ARSO 111 Alameda 26, Plano Diretor Sul",400000,102,3,2,4,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",530000,225,4,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",680000,247,3,4,4,-10.2196474,-48.33896439999999
"Quadra ARSO 151 HM 12, Plano Diretor Sul",199000,55,2,2,1,-10.215773,-48.3340767
"Plano Diretor Norte, Palmas",699000,180,3,3,0,-10.1701661,-48.3339796
"Rua 1, Centro Taquaralto",690000,350,3,3,4,-10.344708,-48.2944728
"Plano Diretor Sul, Palmas",1750000,380,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",620000,140,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",270000,61,2,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",990000,170,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",390000,102,3,1,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,265,3,2,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",950000,223,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",170000,68,2,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",920000,117,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",570000,130,3,2,0,-10.2196474,-48.33896439999999
"Quadra ARSE 71 Alameda 8, Plano Diretor Sul",280000,141,2,2,2,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",350000,96,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",699000,127,3,3,0,-10.1701661,-48.3339796
"ARSO 33 Rua 10, Plano Diretor Sul",975000,212,4,5,3,-10.2958224,-48.304719
"Quadra ARSO 52 Alameda 40, Plano Diretor Sul",1100000,165,3,2,4,-10.2163844,-48.3451708
"Plano Diretor Sul, Palmas",340000,98,2,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",260000,140,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",640000,138,3,3,4,-10.2196474,-48.33896439999999
"ARSO 22 Avenida LO 5, Plano Diretor Sul",1250000,210,3,4,2,-10.1973053,-48.3207783
"Plano Diretor Sul, Palmas",430000,94,3,2,2,-10.2196474,-48.33896439999999
"ARSO 23 Alameda 9, Plano Diretor Sul",639000,138,3,2,4,-10.1856778,-48.3185492
"Plano Diretor Sul, Palmas",230000,60,2,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,116,3,3,0,-10.2196474,-48.33896439999999
"Quadra ARSO 111 Alameda 12, Plano Diretor Sul",360000,100,3,2,1,-10.2145542,-48.3470753
"Plano Diretor Sul, Palmas",460000,132,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,115,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",460000,250,3,1,2,-10.2196474,-48.33896439999999
"Quadra ARSO 52 Alameda 38, Plano Diretor Sul",570000,129,3,2,2,-10.216539,-48.3462107
"Plano Diretor Sul, Palmas",540000,124,3,3,0,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",199000,55,2,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",580000,360,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",890000,172,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",330000,127,3,3,1,-10.2196474,-48.33896439999999
"ARSO 22 Avenida LO 5, Plano Diretor Sul",1100000,192,3,4,0,-10.1973053,-48.3207783
"Plano Diretor Sul, Palmas",639000,138,3,2,5,-10.2196474,-48.33896439999999
"ARSO 31 Alameda 11, Plano Diretor Sul",795000,186,3,3,2,-10.2089826,-48.3539193
"ARSO 33 Rua 1, Plano Diretor Sul",500000,110,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",750000,168,4,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",330000,70,2,1,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",950000,360,4,4,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",750000,232,4,4,1,-10.2196474,-48.33896439999999
"Quadra ARSE 142 Avenida LO 33, Plano Diretor Sul",800000,232,3,3,4,-10.1886054,-48.3348917
"ARSO 24 Avenida NS 9, Zona Rural",1600000,394,4,2,2,,
"Plano Diretor Sul, Palmas",665000,215,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",580000,133,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",550000,202,3,1,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",840000,330,4,4,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,116,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",380000,360,3,2,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",450000,98,3,1,2,-10.2196474,-48.33896439999999
"Quadra ARSO 111 Alameda 18, Plano Diretor Sul",325000,91,3,1,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",420000,180,3,1,2,-10.2196474,-48.33896439999999
"ARSO 22 Alameda 16, Plano Diretor Sul",390000,110,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",910000,181,3,4,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",650000,134,3,3,0,-10.2196474,-48.33896439999999
"Orla 14 Alameda 8, Graciosa - Orla 14",589700,217,3,3,2,39.0524827,-28.0068979
"Plano Diretor Sul, Palmas",530000,103,3,2,2,-10.2196474,-48.33896439999999
"ARSO 54 Alameda 5, Plano Diretor Sul",649000,129,3,2,2,-10.2459211,-48.3249213
"Plano Diretor Sul, Palmas",580000,330,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",950000,250,3,1,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",370000,100,3,2,0,-10.2196474,-48.33896439999999
"Loteamento Caribe, Palmas",710000,133,3,3,2,-10.1881138,-48.3060912
"Plano Diretor Sul, Palmas",650000,134,3,2,2,-10.2196474,-48.33896439999999
"ARSO 43 Alameda 6, Plano Diretor Sul",640000,150,3,2,2,-10.2563753,-48.3227179
"ARSO 53 Alameda 23, Plano Diretor Sul",710000,186,3,4,0,-10.2468692,-48.31897650000001
"ARSO 63 Alameda 13, Plano Diretor Sul",875000,250,3,3,0,-10.2143318,-48.3460029
"Plano Diretor Sul, Palmas",849000,250,4,5,0,-10.2196474,-48.33896439999999
"ARSO 22 Alameda 1, Plano Diretor Sul",600000,129,3,2,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",699000,157,3,3,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",420000,197,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",390000,196,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",1200000,198,3,5,0,-10.1701661,-48.3339796
"Plano Diretor Norte, Palmas",700000,190,3,2,2,-10.1701661,-48.3339796
"ARSO 62 Alameda 6, Plano Diretor Sul",750000,348,5,5,4,-10.2562672,-48.3224762
"Plano Diretor Sul, Palmas",550000,170,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",600000,142,3,2,2,-10.2196474,-48.33896439999999
"ARSO 43 Alameda 5, Plano Diretor Sul",625000,150,3,2,3,-10.2458473,-48.3248386
"Quadra ARSE 51 Alameda 2, Plano Diretor Sul",450000,147,3,2,2,-10.2154065,-48.3452303
"Plano Diretor Sul, Palmas",630000,130,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",199000,300,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",640000,140,3,2,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,116,3,2,2,-10.2196474,-48.33896439999999
"ARSO 22 Avenida LO 5, Plano Diretor Sul",950000,175,3,3,3,-10.1973053,-48.3207783
"ARSO 42 Alameda 15, Plano Diretor Sul",880000,175,4,4,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",550000,111,3,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",270000,200,2,1,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",630000,118,3,3,3,-10.2196474,-48.33896439999999
"ARSO 62 Alameda 2, Plano Diretor Sul",500000,120,3,2,2,-10.2154065,-48.3452303
"Plano Diretor Sul, Palmas",650000,120,3,3,3,-10.2196474,-48.33896439999999
"Quadra ARSE 142 Avenida LO 33, Plano Diretor Sul",990000,192,3,5,4,-10.1886054,-48.3348917
"Plano Diretor Sul, Palmas",629000,125,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARSO 151 QI 35, Plano Diretor Sul",390000,95,3,1,2,-10.215773,-48.3340767
"ARSO 53 Alameda 2, Plano Diretor Sul",850000,265,4,4,2,-10.2154065,-48.3452303
"Graciosa - Orla 14 , Palmas",650000,150,3,4,2,-10.1956686,-48.3654932
"Plano Diretor Sul, Palmas",520000,122,3,2,2,-10.2196474,-48.33896439999999
"Quadra ARNO 44 Alameda 29, Plano Diretor Norte",100000,115,2,1,0,-10.214319,-48.3471908
"Quadra ARSE 61 Alameda 13, Plano Diretor Sul",650000,350,6,5,3,-10.2143318,-48.3460029
"ARSE 22 Alameda 8, Plano Diretor Sul",650000,180,3,3,2,-10.2169161,-48.3465641
"Plano Diretor Sul, Palmas",520000,200,3,3,3,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",500000,160,3,4,0,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",570000,130,3,3,0,-10.2196474,-48.33896439999999
"ARSO 32 Avenida LO 5, Plano Diretor Sul",650000,150,3,3,3,-10.1981603,-48.3359311
"Plano Diretor Sul, Palmas",625000,150,3,2,0,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",1200000,196,3,5,4,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",650000,225,3,2,2,-10.2196474,-48.33896439999999
"ACSU SO 60 Avenida NS 1, Plano Diretor Sul",1150000,303,5,5,4,-10.2739078,-48.3362343
"Quadra ASR SE 75 Alameda 7, Plano Diretor Sul",250000,91,1,1,4,-10.2113835,-48.346634
"ARSO 31 Alameda 2, Plano Diretor Sul",1750000,361,4,4,5,-10.2154065,-48.3452303
"ARSE 24 Alameda 7, Plano Diretor Sul",399000,123,3,1,2,-10.2113835,-48.346634
"ARSO 43 Alameda 10, Plano Diretor Sul",560000,115,3,3,2,-10.215773,-48.3340767
"Plano Diretor Sul, Palmas",440000,159,4,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Norte, Palmas",699000,127,3,2,2,-10.1701661,-48.3339796
"Plano Diretor Sul, Palmas",450000,119,3,2,1,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",4500000,400,5,5,4,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",540000,130,3,3,2,-10.2196474,-48.33896439999999
"Plano Diretor Sul, Palmas",530000,116,3,2,2,-10.2196474,-48.33896439999999
